StoryNumber,ID,Name ,Story , LeftOneImage,LeftTwoImage ,RightOneImage,RightTwoImage,LeftOne ,LeftTwo ,RightOne,RightTwo,EndFlag,NextStory,NextStartNumber,NextEndNumber,SceneMode,Title,LoadScene,ClearConditions,BG,Nalation,NalOnOff,NameLR
4,0,キース,ここだ,1,2,0,15,OFF,ON,OFF,SHADE,0,Story4After,5,5,1,孤立の涙,Story,Boss,4,3,0,0
5,1,ヒュー,…偉そうなのが暴れてるな。あれがこの街のボスか？,0,2,0,15,ON,OFF,OFF,SHADE,0,Story4Before,5,5,,異端からの反撃,,,,,,0
,2,キース,そうだ。…まさかあいつを倒す気か？やめといたほうが…,0,2,0,15,SHADE,ON,OFF,SHADE,0,,5,5,,,,,,,,0
,3,ヒュー,あれを倒せば、ハイランドも見えてくる気がする,0,2,0,15,ON,OFF,OFF,SHADE,0,,5,5,,,,,,,,0
,4,キース,…しゃーねー、やるか,0,2,0,15,SHADE,ON,OFF,SHADE,0,,5,5,,,,,,,,0
,5,,…ん？なんだあいつら！　とりあえずフウスイ様に伝えろー！,0,0,0,11,OFF,OFF,OFF,ON,0,,7,7,,,,,,,,1
,6,,あと増援の要請！,0,0,0,11,OFF,OFF,OFF,ON,0,,7,7,,,,,,,,1
,7,,ヴィック！敵だぞ！その斧でフウスイ様のために戦え！,11,0,0,5,SHADE,OFF,OFF,ON,0,,19,19,,,,,,,,1
,8,ヴィック,敵はどんなヤツだ,11,0,0,10,ON,OFF,OFF,SHADE,0,,19,19,,,,,,,,0
,9,,知らんが…グバッ,11,0,0,10,ON,OFF,OFF,SHADE,0,,19,19,,,,,,,,0
,10,ヴィック,…おい、何やってんだ？,11,9,0,10,SHADE,SHADE,OFF,ON,0,,19,19,,,,,,,,1
,11,フィーナ,こいつらの敵ってことは、もしかしたら私たちの味方になってくれる人たちかも,11,9,0,10,SHADE,ON,OFF,SHADE,0,,19,19,,,,,,,,0
,13,ヴィック,うーん…,11,9,0,10,SHADE,SHADE,OFF,ON,0,,19,19,,,,,,,,1
,14,,こっちから銃声が…！　お前、まさか！,11,9,0,10,ON,SHADE,OFF,SHADE,0,,19,19,,,,,,,,0
,15,フィーナ,もうあなたたちの支配は受けない…フウスイを倒して街を救う！,11,9,0,10,SHADE,ON,OFF,SHADE,0,,19,19,,,,,,,,1
,16,,なんだと！　くそ、フウスイ様に報告だ！,11,9,0,10,ON,SHADE,OFF,SHADE,0,,19,19,,,,,,,,0
,17,ヴィック,やるしかねえか。,11,9,0,10,OFF,SHADE,OFF,ON,0,,19,19,,,,,,,,1
,18,フィーナ,とりあえず、向こうで戦ってる人と合流しよう！,11,9,0,10,OFF,ON,OFF,SHADE,0,,19,19,,,,,,,,0
,19,フィーナ,あ！,2,0,0,9,SHADE,OFF,OFF,ON,0,,28,28,,,,,,,,1
,20,キース,…誰だお前　ここはお嬢さんが来るとこじゃねーぜ,2,0,0,9,ON,OFF,OFF,SHADE,0,,28,28,,,,,,,,0
,21,フィーナ,キースでしょ！　フィーナよ、覚えてないの？,2,0,0,9,SHADE,OFF,OFF,ON,0,,28,28,,,,,,,,1
,22,キース,…で、なんでお前が銃を？俺を殺す気か？,2,0,0,9,ON,OFF,OFF,SHADE,0,,28,28,,,,,,,,0
,23,フィーナ,違うよ！フウスイを倒すため以外なにがあるっていうの？,2,0,0,9,SHADE,OFF,OFF,ON,0,,28,28,,,,,,,,1
,24,キース,お前には無理だ。お家に隠れてな,2,0,0,9,ON,OFF,OFF,SHADE,0,,28,28,,,,,,,,0
,25,フィーナ,もう人撃っちゃったし…,2,0,0,9,SHADE,OFF,OFF,ON,0,,28,28,,,,,,,,0
,26,キース,…は？,2,0,0,9,ON,OFF,OFF,SHADE,0,,28,28,,,,,,,,1
,27,フィーナ,大丈夫！　キースがいない間に強くなったから！　これからよろしく！,2,0,0,9,SHADE,OFF,OFF,ON,0,,28,28,,,,,,,,0
,28,キース,生きてやがったか,2,0,0,10,ON,OFF,OFF,SHADE,0,,36,36,,,,,,,,1
,29,ヴィック,おめえもな。お互い悪運が強いことだ,2,0,0,10,SHADE,OFF,OFF,ON,0,,36,36,,,,,,,,0
