StoryNumber,ID,Name ,Story , LeftOneImage,LeftTwoImage ,RightOneImage,RightTwoImage,LeftOne ,LeftTwo ,RightOne,RightTwo,EndFlag,NextStory,NextStartNumber,NextEndNumber,SceneMode,Title,LoadScene,ClearConditions
3,0,ヒュー,このあたりか？,0,0,0,11,ON,OFF,OFF,OFF,0,Story3After,6,7,1,嵐の出撃,Story,Boss
,1,イゴール,そうだぜ、ただヤツらは急に現れてだな…,0,6,0,11,SHADE,ON,OFF,OFF,0,,6,7,,,,
,2,ザコ,バイク野郎！お前ら全滅したんじゃねーのか？,0,6,0,11,SHADE,SHADE,OFF,ON,0,,6,7,,,,
,3,イゴール,因縁をつけてくるわけだ。空からな、臆病なヤツらめ！,0,6,0,11,SHADE,ON,OFF,SHADE,0,,6,7,,,,
,4,ザコ,フン、そっちは…パーシング殺ったヤツらか！お前らかかれ！全部倒して俺らが覇者になるんだ！,0,6,0,11,SHADE,SHADE,OFF,ON,0,,6,7,,,,
,5,ヒュー,…地形関係なしに移動してくるヘリか…厄介だな,0,0,0,11,ON,SHADE,OFF,ON,0,,6,7,,,,
,6,ジャイロ,面倒だな　ったくどうしたものか…,0,0,0,8,OFF,OFF,OFF,ON,0,,7,8,,,,
,7,ジャイロ,あんた…どこかで…,5,0,0,8,SHADE,OFF,OFF,ON,0,,19,20,,,,
,8,ジェーコブ,飛行兵か　どうした？,5,0,0,8,ON,OFF,OFF,SHADE,0,,19,20,,,,
,9,ジャイロ,俺がガキの頃、お世話になった男に似てるんでな　彼の名はロドニー・エヴァンス…,5,0,0,8,SHADE,OFF,OFF,ON,0,,19,20,,,,
,10,ジェーコブ,…それがどうかしたのか？　私はジェーコブ　しがない銃使いにすぎん,5,0,0,8,ON,OFF,OFF,ON,0,,19,20,,,,
,11,ジャイロ,…まあ、あの人が生きてりゃこんなところでうろついてねえか…,5,0,0,8,SHADE,OFF,OFF,ON,0,,19,20,,,,
,12,ジェーコブ,で、どうする？私にやられるために来たのか？,5,0,0,8,ON,OFF,OFF,OFF,0,,19,20,,,,
,13,ジャイロ,…どうしてほしい？,5,0,0,8,SHADE,OFF,OFF,OFF,0,,19,20,,,,
,14,ジェーコブ,そうだな…我らが大将、ヒュー・エヴァンスの力にでもなってくれれば助かるが,5,0,0,8,ON,OFF,OFF,OFF,0,,19,20,,,,
,15,ジャイロ,エヴァンス？　…はは、いいだろう、俺もあのガソリン漏れ野郎には嫌気がさしてたところだ　加勢するぜ,5,0,0,8,SHADE,OFF,OFF,ON,0,,19,20,,,,
,16,ジェーコブ,助かる　頼むぞステファン,5,0,0,8,ON,OFF,OFF,SHADE,0,,19,20,,,,
,17,ジャイロ,…あ？　なんであんた俺の本名を…,5,0,0,8,SHADE,OFF,OFF,ON,0,,19,20,,,,
,18,ジャイロ,まあいいか…俺はジャイロだ、よろしく頼むぜ,5,0,0,8,SHADE,OFF,OFF,ON,0,,19,20,,,,
,19,フライヤー,オラオラどうしたぁ！空からじゃ手も足も出ねえか！？,0,0,0,14,OFF,OFF,OFF,ON,0,,20,21,,,,
,20,フライヤー,あ？なんでお前がそっちにいるんだ？,8,0,0,14,SHADE,OFF,OFF,ON,0,,22,23,,,,
,21,ジャイロ,さあな、どちらにせよ、死ぬお前が知る必要はねえ,8,0,0,14,ON,OFF,OFF,SHADE,0,,22,23,,,,
,22,フライヤー,あ…？ちょ、ちょっと待て、落ちるー,0,0,0,14,OFF,OFF,OFF,ON,1,,0,22,,,,
,23,,,,,,,,,,,,,,,,,,
